Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2014;3256;0;2A;2A048;Calcatoggio;Hameau de Pevani;NB28C4;2014-06-28 14:50:00;3;280000
2012;9105;0;2B;2B182;Occhiatana;;NC44D83;2012-10-09 16:14:00;;10000
2016;1597;0;2B;2B112;Feliceto;;NC44B45;2016-04-27 14:49:00;;100
2016;4552;0;2B;2B185;Oletta;PADULE;NC66H14;2016-08-03 12:38:00;;4000
2016;2765;0;2B;2B012;Altiani;;NC60G83;2016-06-12 18:24:00;;20000
2018;254;0;2B;2B055;Campitello;RANCONI;NC64H55;2018-01-28 12:53:00;;100000
2014;5257;0;2A;2A031;Bastelica;Plateau d'Ese - Station de ski;NB68C5;2014-09-10 13:04:00;3;600
2019;588;0;2B;2B290;Speloncato;;NC44D55;2019-02-23 17:20:00;;3000
2015;5392;0;2B;2B036;Bigorno;;NC64G43;2015-09-14 13:16:00;;20
2012;9526;0;2A;2A351;Villanova;SAN FEDELE;NB28D15;2012-07-18 19:05:00;3;100
2012;9550;0;2A;2A272;Sartène;col de suara;NB44H25;2012-08-02 14:48:00;3;1885
2014;1561;0;2A;2A040;Bocognano;RN193;NC40L03;2014-02-25 11:46:00;3;2000
2014;6683;0;2A;2A031;Bastelica;5 km avant station Val d'Ese;NB68A4;2014-12-23 16:03:00;3;25000
2015;1350;0;2A;2A031;Bastelica;Corbajola - Station de ski;NB48L3;2015-01-04 14:11:00;;5000
2015;4536;0;2A;2A031;Bastelica;Col de Crichetto - ZIPITOLI;NB48G22;2015-08-08 23:37:00;3;1090
2021;3926;0;2A;2A006;Alata;Marchesi;NB28E12;2021-07-09 18:29:00;;70000
2017;8060;0;2B;2B234;Piobetta;col arcarota;NC82A55;2017-10-22 16:35:00;;1500
2019;6333;0;2B;2B105;Erbajolo;;NC60G92;2019-09-17 12:42:00;;71400
2020;1801;0;2B;2B058;Canari;;NC68H21;2020-06-28 12:04:00;;4000
2017;8058;0;2B;2B234;Piobetta;col d'arcarota;NC82A55;2017-10-22 15:55:00;;1000
2021;5483;0;2B;2B218;Piedicorte-di-Gaggio;;NC60K92;2021-09-01 12:20:00;;8100
2012;7829;0;2B;2B346;Vescovato;;NC84C31;2012-08-25 09:03:00;;1000
2013;808;0;2B;2B059;Canavaggia;;NC64E24;2013-04-10 11:13:00;;10000
2013;1694;0;2B;2B350;Vignale;;NC84A65;2013-06-29 14:46:00;;60000
2013;1689;0;2B;2B355;Volpajola;;NC64K41;2013-06-27 13:52:00;;7000
2015;5371;0;2B;2B292;Sant'Andréa-di-Bozio;Savaggio D16;NC62K14;2015-09-09 15:45:00;;15000
2015;4676;0;2B;2B079;Castello-di-Rostino;;NC64G11;2015-08-26 09:35:00;;9000
2015;5391;0;2B;2B036;Bigorno;;NC64G43;2015-09-14 09:05:00;;16
2015;5394;0;2B;2B036;Bigorno;;NC64G43;2015-09-14 19:06:00;;3
2015;5006;0;2B;2B105;Erbajolo;Vetrice;NC62H05;2015-09-02 12:36:00;;21590
2015;5502;0;2B;2B105;Erbajolo;FELCE;NC62H05;2015-09-18 13:14:00;;9494
2015;5503;0;2B;2B292;Sant'Andréa-di-Bozio;Macchioni;NC62F03;2015-09-18 13:45:00;;761
2016;4414;0;2B;2B037;Biguglia;route du lancone;NC86B01;2016-07-25 22:02:00;;26000
