Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2022;5481;0;2A;2A300;San-Gavino-di-Carbini;Bocca di Barocaggio;NB64G84;2022-08-13 06:51:00;;3
2022;5482;0;2A;2A288;Sotta;San Martinu;NB64G03;2022-08-13 07:33:00;;5
2022;5483;0;2A;2A108;Évisa;Bocca di Cuccavera;NC22K01;2022-08-13 09:05:00;;3
2022;5478;0;2A;2A031;Bastelica;Dominicacci;NB48K53;2022-08-11 15:23:00;;1
2022;5477;0;2A;2A232;Pila-Canale;Santalparte;NB46D32;2022-08-11 15:14:00;;1
2022;5671;0;2A;2A141;Letia;Bocca di Forci;NC20L51;2022-08-21 18:50:00;;200
2022;5452;0;2A;2A362;Zonza;Tagliu di Mezzu;NB64K81;2022-08-10 15:29:00;;500
2022;6126;0;2A;2A006;Alata;I Pinnuti;NB28E22;2022-08-15 08:30:00;;5
2022;6127;0;2A;2A345;Vero;Pian di Vero;NB48D85;2022-08-18 08:14:00;;222
2022;6128;0;2A;2A198;Ota;Bergerie de Larata;NC20F94;2022-08-25 08:16:00;;1
2022;6129;0;2A;2A089;Ciamannacce;Station du Val d'Ese;NB68B53;2022-08-28 16:23:00;;10
2012;9597;0;2A;2A330;Ucciani;crucoli;NB48F73;2012-09-06 13:58:00;3;20
2019;5840;0;2A;2A284;Sollacaro;Piattone;NB46E04;2019-08-28 17:21:00;;5000
2012;9530;0;2A;2A154;Marignana;fiuminale;NC20H61;2012-07-22 15:26:00;3;10
2012;9531;0;2A;2A345;Vero;TARTAVELLO;NB48C85;2012-07-22 16:17:00;3;200
2012;9532;0;2A;2A131;Guagno;bergerie de BASUTONE;NC40H54;2012-07-23 15:38:00;3;10
2012;9533;0;2A;2A288;Sotta;petra longa;NB64H14;2012-07-24 15:15:00;3;300
2012;9592;0;2A;2A198;Ota;pizzola;NC20E82;2012-09-02 08:10:00;3;100
2018;3442;0;2A;2A040;Bocognano;Bocca Muratellu;NC40G02;2018-08-06 16:44:00;;10
2013;3466;0;2A;2A254;Quenza;cantoli;NB66D25;2013-07-16 17:59:00;3;20
2013;3468;0;2A;2A247;Porto-Vecchio;PUNTA DI MOLA;NB64K65;2013-07-20 16:58:00;3;10
2013;3467;0;2A;2A092;Conca;punta calcina;NB86C03;2013-07-17 18:44:00;3;10
2013;3470;0;2A;2A247;Porto-Vecchio;l'ospédale;NB64K63;2013-07-20 18:26:00;3;50
2013;3690;0;2A;2A345;Vero;tartavello;NB48C83;2013-07-22 16:36:00;3;10
2013;3691;0;2A;2A215;Pianottoli-Caldarello;UOMO DI CAGNA;NB64B05;2013-07-22 18:33:00;3;1320
2013;4719;0;2A;2A004;Ajaccio;la parata;NB26B82;2013-08-07 14:07:00;3;300
2013;4720;0;2A;2A198;Ota;cretes de L'ARATA;NC20F81;2013-08-09 00:51:00;3;10
2013;4731;0;2A;2A114;Figari;tarrabucceta;NB62C52;2013-08-23 17:16:00;3;21000
2013;5436;0;2A;2A324;Tavera;vignale;NB48F81;2013-09-29 12:39:00;3;10
2013;5444;0;2A;2A004;Ajaccio;castelluccio;NB28F04;2013-10-07 14:43:00;3;50
2014;2952;0;2A;2A212;Piana;Pascianu;NC00K43;2014-06-15 21:09:00;3;2000
2015;4532;0;2A;2A362;Zonza;Centre Village - ILLARATA;NB64G81;2015-08-11 09:34:00;3;2
2018;3126;0;2A;2A100;Cristinacce;;NC20L73;2018-07-26 16:21:00;;300
2016;4857;0;2A;2A254;Quenza;COL DE LARONE;NB86A6;2016-08-11 15:53:00;3;20
2018;3129;0;2A;2A258;Renno;;NC20L65;2018-07-26 17:28:00;;3000
2018;3135;0;2A;2A288;Sotta;Borivoli;NB64F15;2018-08-03 17:55:00;;1
2017;2268;0;2A;2A108;Évisa;BOCCA A U SALTU;NC22K04;2017-06-02 15:14:00;3;2100
2017;2733;0;2A;2A117;Forciolo;RD26 entre forciolo et olivese;NB46K63;2017-06-29 15:45:00;3;5
2017;2004;0;2A;2A362;Zonza;Chemin forestier de la Famulaghja;NB66K04;2017-06-03 12:44:00;3;20
2018;3667;0;2A;2A114;Figari;Montilati;NB62F85;2018-08-23 16:26:00;;5
2018;3668;0;2A;2A262;Rosazia;Monte Cervellu;NC40B23;2018-08-26 12:38:00;;1
2017;6791;0;2A;2A247;Porto-Vecchio;Village de l'Ospedale;NB64H61;2017-09-01 10:16:00;3;200
2018;3261;0;2A;2A362;Zonza;Punta Rossa;NB66G03;2018-07-31 14:30:00;;20
2018;3140;0;2A;2A240;Poggiolo;Sous la crête de Punta Riccinosa, versant Nord;NC40B25;2018-08-07 17:27:00;;1
2018;3449;0;2A;2A129;Grossa;Piste de Conca, sous le village;NB44D25;2018-08-16 17:28:00;;1000
2018;3138;0;2A;2A131;Guagno;Bocca Missighjellu;NC40C2;2018-08-06 17:13:00;;20
2018;3444;0;2A;2A200;Palneca;Col du Laparo;NB68G34;2018-08-08 18:15:00;;300
