Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2012;8834;0;2B;2B110;Favalello;;NC62E15;2012-09-20 15:28:00;;300
2019;979;0;2B;2B172;Murato;;NC64G65;2019-03-12 14:07:00;;3000
2012;8832;0;2B;2B096;Corte;;NC62C13;2012-09-20 13:24:00;;3000
2012;4517;0;2A;2A070;Casaglione;RR 81;NB28E72;2012-02-12 14:46:00;3;1000
2020;1539;0;2A;2A017;Appietto;RD 381 Route de Lava;NB28F44;2020-04-14 15:54:00;;80
2020;980;0;2A;2A031;Bastelica;Chjala Ficcia;NB48L54;2020-03-18 14:17:00;;2000
2020;645;0;2A;2A114;Figari;Tarrabucceta;NB62E85;2020-02-13 10:26:00;;50
2021;2459;0;2A;2A266;Salice;Col de Tartavello;NB48C95;2021-06-04 17:50:00;;50
2021;3088;0;2A;2A062;Carbuccia;Mulinacciu;NB48D63;2021-06-20 13:00:00;;50
2021;2060;0;2A;2A258;Renno;Hameau de Chimiglia;NC20K55;2021-03-28 20:53:00;;10925
2021;7325;0;2A;2A295;Sant'Andréa-d'Orcino;Botte;NB28G62;2021-10-13 16:27:00;;303
2021;7343;0;2A;2A326;Tolla;Capravena;NB48E25;2021-10-20 16:53:00;;3323
2017;687;0;2A;2A272;Sartène;Pont A Renna Bianca;NB44E53;2017-01-07 15:30:00;3;1000
2022;1414;0;2A;2A114;Figari;Poggiale;NB62D84;2022-02-08 16:29:00;;10
2018;4261;0;2A;2A060;Cannelle;Route de Sarzoghju;NB28L61;2018-04-20 17:00:00;;100
2012;5231;0;2B;2B075;Casevecchie;;NC80A31;2012-06-28 15:34:00;;300
2012;5374;0;2B;2B184;Olcani;;NC68K14;2012-07-08 20:59:00;;500
2012;5883;0;2B;2B080;Castifao;;NC64A31;2012-07-12 15:12:00;;23000
2017;10025;0;2B;2B042;Borgo;san ornellu;NC84B81;2017-12-09 16:20:00;;200
2017;1110;0;2A;2A349;Viggianello;santa barbara;NB44F53;2017-03-24 18:33:00;3;50
2012;8854;0;2B;2B110;Favalello;;NC62G24;2012-09-24 16:20:00;;250
2012;8446;0;2B;2B123;Ghisonaccia;;NB88B83;2012-09-08 13:16:00;;300
2012;127;0;2B;2B148;Lucciana;;NC84B61;2012-01-10 14:35:00;;45000
2014;1338;0;2B;2B167;Montegrosso;;NC24H43;2014-04-15 17:03:00;;3000
2014;1339;0;2B;2B167;Montegrosso;;NC24G44;2014-04-15 17:12:00;;2000
2014;1340;0;2B;2B167;Montegrosso;;NC24K44;2014-04-15 20:23:00;;400
2015;2302;0;2A;2A247;Porto-Vecchio;Rte de Pezza Cardo;NB84A42;2015-06-13 16:23:00;3;3000
2014;5096;0;2B;2B096;Corte;;NC62B35;2014-09-02 12:48:00;;7955
2016;1244;0;2B;2B314;Santo-Pietro-di-Tenda;;NC66C35;2016-04-14 13:50:00;;10000
2016;67;0;2B;2B299;San-Gavino-d'Ampugnani;;NC82C95;2016-01-11 20:03:00;;300000
2012;5165;0;2A;2A041;Bonifacio;SANTA MANZA;NB62K25;2012-06-15 14:14:00;3;960
2017;800;0;2B;2B352;Ville-di-Paraso;battaglia;NC44D52;2017-03-17 14:59:00;;3000
2017;1059;0;2B;2B182;Occhiatana;;NC44E61;2017-03-24 18:14:00;;300
2017;643;0;2B;2B341;Venaco;col belle granaje;NC60D81;2017-03-10 18:34:00;;3000
2012;5181;0;2A;2A247;Porto-Vecchio;ROUTE DE PALOMBAGGIA;NB84A11;2012-06-23 18:13:00;;100
2012;9516;0;2A;2A247;Porto-Vecchio;tamaricci;NB84C14;2012-07-12 16:00:00;3;29
2017;570;0;2B;2B265;Rutali;santa chiara;NC64L85;2017-03-07 19:04:00;;15000
2019;6759;0;2A;2A031;Bastelica;Pantanaccia. Plateau d'Ese;NB68B54;2019-10-06 15:07:00;;35000
2018;4265;0;2A;2A200;Palneca;Scrivanu;NB68E31;2018-04-24 16:10:00;;1500
2013;6017;0;2A;2A272;Sartène;zivia;NB42D84;2013-10-19 16:26:00;3;100
2021;365;0;2A;2A017;Appietto;A Faccia;NB28G44;2021-02-05 14:33:00;;760
