Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2022;4624;0;2B;2B079;Castello-di-Rostino;entre Bisinchi et castello di rostinu;NC64H2;2022-07-14 14:05:00;;100
2022;6263;0;2B;2B296;Sant'Antonino;d413 croisement cateri aregno;NC24L6;2022-09-11 02:27:00;;30000
2022;4642;0;2B;2B143;Linguizzetta;route de la mer;NC82H0;2022-07-19 14:51:00;;500
2012;5882;0;2B;2B185;Oletta;;NC66G13;2012-07-12 10:34:00;;60000
2022;4636;0;2B;2B079;Castello-di-Rostino;D15a;NC64G2;2022-07-15 18:05:00;;20000
2021;5904;0;2B;2B185;Oletta;;NC66G13;2021-09-13 15:09:00;;17220
2017;7315;0;2B;2B079;Castello-di-Rostino;Furignoni;NC64F23;2017-09-21 15:02:00;;99100
2016;6863;0;2A;2A017;Appietto;ROUTE DE LAVA;NB28E32;2016-09-22 16:58:00;3;8100
2013;2856;0;2B;2B185;Oletta;;NC66G15;2013-07-25 11:20:00;;118300
2022;6415;0;2B;2B304;San-Lorenzo;1,5 km apres le pont direction san lorenzo;NC62G8;2022-09-17 18:09:00;;200
2017;6509;0;2B;2B143;Linguizzetta;champs de tir;NC80H73;2017-09-02 16:35:00;;400000
